"34-1-14","443 Broadway, Newburgh, NY, 12550","No_Match"
"48-4-13","16 Bay View Ter, Newburgh, NY, 12550","Match","Exact","16 BAY VIEW TER, NEWBURGH, NY, 12550","-74.009766,41.4916","124414020","R","36","071","000502","2007"
"48-4-16","12 Henry Ave, Newburgh, NY, 12550","Match","Exact","12 HENRY AVE, NEWBURGH, NY, 12550","-74.010376,41.491592","124431496","R","36","071","000502","2007"
"48-4-15","10 Henry Ave, Newburgh, NY, 12550","Match","Exact","10 HENRY AVE, NEWBURGH, NY, 12550","-74.010284,41.491585","124431496","R","36","071","000502","2007"
"48-4-10","12 Bay View Ter, Newburgh, NY, 12550","Match","Exact","12 BAY VIEW TER, NEWBURGH, NY, 12550","-74.00972,41.49198","124414020","R","36","071","000502","2007"
"6-5-18.-5","46 Roe St, Newburgh, NY, 12550","Match","Exact","46 ROE ST, NEWBURGH, NY, 12550","-74.02581,41.51058","124413284","R","36","071","000300","1007"
"48-4-12","15 Bay View Ter, Newburgh, NY, 12550","No_Match"
"48-4-11","14 Bay View Ter, Newburgh, NY, 12550","Match","Exact","14 BAY VIEW TER, NEWBURGH, NY, 12550","-74.00974,41.49179","124414020","R","36","071","000502","2007"
"48-4-18","16 Henry Ave, Newburgh, NY, 12550","Match","Exact","16 HENRY AVE, NEWBURGH, NY, 12550","-74.01056,41.491604","124431496","R","36","071","000502","2007"
"48-4-17","14 Henry Ave, Newburgh, NY, 12550","Match","Exact","14 HENRY AVE, NEWBURGH, NY, 12550","-74.01047,41.491596","124431496","R","36","071","000502","2007"
"48-4-19","18 Henry Ave, Newburgh, NY, 12550","Match","Exact","18 HENRY AVE, NEWBURGH, NY, 12550","-74.01065,41.491608","124431496","R","36","071","000502","2007"
"20-1-21.1","11 Valley Ave, Newburgh, NY, 12550","Match","Exact","11 VALLEY AVE, NEWBURGH, NY, 12550","-74.02839,41.503975","124413362","L","36","071","000300","3005"
"22-6-9.2","75 Carter St, Newburgh, NY, 12550","Match","Exact","75 CARTER ST, NEWBURGH, NY, 12550","-74.01912,41.50364","124413570","L","36","071","000300","5002"
"27-1-54","26 West St, Newburgh, NY, 12550","Match","Exact","26 WEST ST, NEWBURGH, NY, 12550","-74.03072,41.502434","124413334","R","36","071","000300","3008"
"27-1-53","286 Van Ness St, Newburgh, NY, 12550","Match","Exact","286 VAN NESS ST, NEWBURGH, NY, 12550","-74.02838,41.50204","124413338","R","36","071","000300","3008"
"27-1-51","276 Van Ness St, Newburgh, NY, 12550","Match","Exact","276 VAN NESS ST, NEWBURGH, NY, 12550","-74.0282,41.502026","124413338","R","36","071","000300","3008"
