ID,SaleDate,Price,NBHD_CODE,PROP_CLASS,BLDG_STYLE,GRADE,OVERALL_COND,SFLA,ACRES,YR_BUILT,NBR_BEDROOMS,NBR_FULL_BATHS,NBR_HALF_BATHS,NBR_FIREPLACES
26-5-13,1338854400,100000,5,210,8,C,3,972,0.114141414,1920,3,1,1,0
13-5-19,1314230400,130000,9,210,8,C,3,1508,0.223140496,1917,3,1,1,1
16-12-10,1314921600,115000,6,210,8,C,3,952,0.086088154,1920,3,1,0,0
33-1-5,1316476800,80000,12,210,8,C,3,1200,0.051905418,1930,3,1,0,0
10-2-15,1317340800,390000,4,210,8,B,4,3490,0.344352617,1900,4,3,1,5
6-3-10,1317859200,172000,2,210,2,C,3,2262,0.267745638,1970,3,2,0,1
23-6-8,1317945600,22000,8,210,8,C,4,1100,0.022956841,1880,2,2,2,0
20-1-43,1318291200,119000,6,210,8,C,4,1560,0.050734619,1930,4,2,0,0
3-9-2,1319155200,40000,3,210,13,D,3,520,0.179063361,1910,2,1,0,0
16-12-13,1320710400,125000,6,210,8,C,3,1916,0.091769972,1915,5,1,1,1
6-4-10,1320796800,195000,2,210,1,C,3,1519,0.22107438,1955,2,1,1,1
25-1-55.2,1323216000,145000,9,210,5,C,3,2980,0.185950413,1988,3,2,1,1
17-7-13,1295481600,112000,3,210,8,C,3,1193,0.057392103,1900,2,1,0,0
7-1-53,1302739200,170000,6,210,1,C,3,1308,0.299586777,1962,3,1,0,1
13-5-24.1,1302912000,175000,9,210,8,C,3,1048,0.149219467,1919,3,1,0,0
32-5-6.2,1303862400,99900,12,210,13,C,3,762,0.450413223,1880,2,1,0,0
7-4-7,1310515200,190000,3,210,5,C,3,2380,0.172176309,1929,4,2,1,1
26-3-46,1311552000,140000,5,210,4,C,3,1296,0.130853994,1954,3,1,0,0
10-3-35,1557705600,360000,4,230,10,B,3,2268,0.057392103,1900,4,3,0,0
45-13-1,1559260800,95000,14,220,8,C,3,2120,0.050757576,1896,7,2,0,0
45-13-3,1559606400,231000,14,220,8,C,1,1814,0.06714876,1900,4,2,0,0
45-1-2,1560211200,125000,14,220,8,C,3,2320,0.077892562,1900,6,2,0,0
44-3-30,1560211200,162000,13,220,8,C,3,1806,0.06714876,1920,5,2,0,0
29-9-9,1560816000,202400,8,220,8,C,3,2088,0.034501837,1890,6,2,0,0
45-15-9,1560902400,95000,14,230,10,C,3,2169,0.053719008,1900,8,1,0,0
30-3-1,1560988800,170000,8,220,8,C,3,2625,0.05567034,1900,6,4,0,0
11-5-22,1561420800,175000,8,220,10,C,3,2736,0.058884298,1900,6,3,0,0
30-2-20,1554681600,139000,7,230,10,C,2,2346,0.057392103,1900,8,4,0,0
48-1-6,1555027200,60000,15,220,8,C,3,1908,0.057392103,1900,6,2,0,0
48-6-19,1556064000,265000,15,220,8,C,3,2288,0.08117539,1890,5,2,0,0
19-1-33,1556582400,326500,4,230,10,C,3,2842,0.082644628,1890,9,4,0,0
48-1-10.1,1556841600,275000,15,230,10,C,3,2730,0.057392103,1900,9,3,1,0
30-3-11,1557273600,300000,8,230,8,C,3,2120,0.052800735,1900,8,4,0,0
45-3-2,1557433140,215000,14,220,8,C,3,2640,0.052800735,1890,6,2,0,0
39-5-24,1557446400,95000,14,230,10,C,3,2802,0.034435262,1900,5,3,0,1
45-5-17,1552003200,262500,14,230,10,C,3,3024,0.071740129,1890,5,3,0,0
36-2-8,1552348800,275000,14,230,8,C,3,2880,0.09,1910,6,3,0,0
30-2-8,1552435200,115000,8,230,10,C,2,2913,0.04476584,1900,6,3,0,0
48-6-13,1552953600,209100,15,220,8,C,3,1856,0.040656566,1900,5,2,0,0
23-3-13,1553558400,199000,8,230,10,C,3,2100,0.029843893,1900,5,3,0,0
10-1-26,1553644800,280000,8,230,10,C,3,3444,0.057966024,1900,8,3,0,0
18-11-17,1553731200,155000,8,230,10,C,2,2616,0.057392103,1900,8,3,0,0
1-2-3,1553817600,140000,1,220,12,C,3,2808,0.176675849,1988,5,4,0,0
45-8-31,1550793600,200000,14,230,10,C,3,2784,0.037878788,1890,7,3,0,0
48-10-9,1551052800,235000,15,220,8,C,3,2104,0.057392103,1910,6,2,0,0
38-2-19,1551139200,145000,13,230,10,D,3,2460,0.057392103,1900,8,3,0,0
23-7-8,1551225600,48500,8,220,10,C,3,1440,0.039669421,1880,4,2,0,0
10-2-16,1551312000,386250,4,220,4,B,4,1612,0.071740129,1930,4,2,0,4
18-1-35,1551657600,202650,8,220,10,C,3,1416,0.049586777,1890,4,2,0,0
18-3-14,1551916800,196000,8,210,10,C,1,1088,0.03902663,1900,5,2,0,1
45-5-16,1552003200,262500,14,220,10,C,3,3006,0.057392103,1890,4,2,0,0
11-2-11,1548979200,168000,8,230,10,C,3,2898,0.052272727,1900,11,3,0,0
45-7-2,1549843200,105000,14,220,10,C,3,1698,0.030991736,1890,4,2,0,0
45-4-15,1550016000,118000,14,220,10,C,3,2412,0.052800735,1900,5,2,0,0
45-13-7,1550016000,107000,14,220,8,C,3,1488,0.06177686,1895,3,2,0,0
38-2-28,1550188800,83000,13,220,8,C,3,1320,0.114784206,1900,5,2,0,0
29-5-32,1550620800,220000,8,220,10,C,4,2056,0.057392103,1892,5,2,0,0
39-2-17,1550620800,105000,14,220,8,C,3,2160,0.040461433,1900,4,3,0,0
11-5-23,1550793600,180000,8,230,10,C,3,2736,0.051355372,1890,9,3,0,0
22-1-9,1547164800,250000,8,220,8,C,3,2352,0.107394399,1900,4,2,0,0
44-1-3,1547164800,110000,13,220,10,C,3,2184,0.06714876,1925,4,2,0,0
45-5-5,1547164800,145000,14,220,10,C,2,2164,0.06714876,1890,6,2,0,0
38-4-23,1547510400,49000,13,220,8,D,3,1898,0.080348944,1890,4,2,0,0
45-14-4,1548115200,145000,14,230,8,C,3,2778,0.047061524,1890,5,3,0,0
