ID,Street,Non-Homestead,Account,Code,"2016 City","2016 Full","2017 City","2017 Full","2018 City","2018 Full","2019 City","2019 Full","2020 City","2020 Full","2021 City","2021 Full","2022 City","2022 Full","Sale Date","Sale Price","Sale AV",2016OwnerAtAddress,2017OwnerAtAddress,2018OwnerAtAddress,2019OwnerAtAddress,2020OwnerAtAddress,2021OwnerAtAddress,2022OwnerAtAddress,Latitude,Longitude,TigerLine,DistanceFromCityHall,20162022Diff,SaleAssessDiff,SaleAssessDiffPercent,SqFt,Bathrooms,Bedrooms,YearBuilt,LandSize,Zoning,Ward,CensusBlock,AVPerSqFt,AVChangePercent,SalePricePerSqFt,NbhdCode,2021Vacant,2021Violations,OpportunityZone
10-1-24,"364 Liberty St",0,190450,230,49000,53300,41400,41400,41400,41400,45500,45500,93100,93100,109900,109900,158900,158900,,,,1,1,1,1,1,1,1,41.509613,-74.01072,639364684,1071,105600,,,1782.0,3.0,3.0,1900,1900,"Residential Low Density","Ward 1","County 071 Tract 000400 Block Group 1",89.17,1.98,,8,1,1,1
10-1-25,"366 Liberty St",0,190500,311,2400,2400,1700,1700,1700,1700,12800,12800,12800,12800,12800,12800,14100,14100,,,,1,1,1,1,1,1,1,41.50967,-74.01073,639364684,1078,11700,,,null,null,null,null,null,"Residential Low Density","Ward 1","County 071 Tract 000400 Block Group 1",,4.88,,8,0,0,1
10-1-26,"368 Liberty St",0,190550,230,103900,112900,110600,110600,110600,110600,121700,121700,243100,243100,286900,286900,344300,344300,2021-07-30,380000,286900,1,1,1,1,1,1,1,41.50973,-74.01073,639364684,1084,231400,93100,0.32,3444.0,3.0,8.0,1900,1900,"Residential Low Density","Ward 1","County 071 Tract 000400 Block Group 1",99.97,2.05,110.34,8,0,0,1
10-1-27,"370 Liberty St Rear",0,190800,311,1800,1800,1300,1300,1300,1300,2700,2700,2700,2700,2700,2700,3000,3000,,,,1,1,1,1,1,1,1,41.509792,-74.01073,639364684,1091,1200,,,null,null,null,null,null,"Residential Low Density","Ward 1","County 071 Tract 000400 Block Group 1",,0.67,,8,0,0,1
10-1-28,"370 Liberty St",0,190600,210,81400,85700,71000,71000,71000,71000,71000,71000,145600,145600,152900,152900,183500,183500,2019-01-04,87000,71000,1,1,1,1,1,1,1,41.509792,-74.01073,639364684,1091,97800,16000,0.23,1524.0,1.0,2.0,1906,1906,"Residential Low Density","Ward 1","County 071 Tract 000400 Block Group 1",120.41,1.14,57.09,8,0,0,1
10-1-29,"372 Liberty St",0,190650,230,39200,39200,37600,37600,37600,37600,41400,41400,68500,68500,80800,80800,97000,97000,2016-08-05,50000,58200,1,1,1,1,1,1,1,41.50985,-74.010735,639364684,1098,57800,-8200,-0.14,2800.0,3.0,6.0,1920,1920,"Residential Low Density","Ward 1","County 071 Tract 000400 Block Group 1",34.64,1.47,17.86,8,1,1,1
10-1-3,"333 Grand St",0,144050,230,362300,362300,372100,372100,372100,372100,424800,424800,519600,519600,517000,517000,620400,620400,,,,1,1,1,1,1,1,1,41.51145,-74.00931,124413538,1275,258100,,,5418.0,3.0,5.0,1857,1857,"Residential Low Density","Ward 1","County 071 Tract 000400 Block Group 1",114.51,0.71,,4,0,0,1
10-1-30,"372 Liberty St Rear",0,190750,311,500,500,400,400,400,400,800,800,800,800,800,800,900,900,,,,1,1,1,1,1,1,1,41.50985,-74.010735,639364684,1098,400,,,null,null,null,null,null,"Residential Low Density","Ward 1","County 071 Tract 000400 Block Group 1",,0.8,,8,0,0,1
10-1-31,"374 Liberty St",0,190700,230,45700,49700,45700,45700,45700,45700,50300,50300,79800,79800,94200,94200,113000,113000,,,,1,1,1,1,1,1,1,41.50991,-74.010735,639364684,1104,63300,,,2160.0,3.0,3.0,1900,1900,"Residential Low Density","Ward 1","County 071 Tract 000400 Block Group 1",52.31,1.27,,8,1,1,1
10-1-32,"374 A Liberty St",0,190850,312,3300,3300,3300,3300,3300,3300,3300,3300,4900,4900,4900,4900,5200,5200,,,,1,1,1,1,1,1,1,41.509953,-74.010735,639364684,1109,1900,,,null,null,null,null,null,"Residential Low Density","Ward 1","County 071 Tract 000400 Block Group 1",,0.58,,8,1,0,1
