"25-1-8","15 WHITE ST - 15 White St","","Yes"
"25-2-14","7 OAK ST - 7 Oak St","","Yes"
"25-2-34","46 POPLAR ST - 46 Poplar St","","Yes"
"25-2-35","48 POPLAR ST - 48 Poplar St","","Yes"
"25-3-15","15 POPLAR ST - 15 Poplar St","","Yes"
"25-3-35","16 MAPLE ST - 16 Maple St","","Yes"
"25-4-18","11 MAPLE ST - 11 Maple St","","Yes"
"25-4-36.1","730 BROADWAY - 730 Broadway","","Yes"
"25-4-40","746 BROADWAY - 746 Broadway","","Yes"
"25-4-42","750 BROADWAY - 750 Broadway","","Yes"
"25-6-9","13 CHESTNUT ST - 13 Chestnut St","","Yes"
"25-7-19","10 MCDOWELL PL - 10 Mcdowell Pl","","Yes"
"25-7-7","11 NOTT PL - 11 Nott Pl","","Yes"
"25-7-8","13 NOTT PL - 13 Nott Pl","","Yes"
"26-1-25","109 DUPONT AVE - 109 Dupont Ave","","Yes"
"26-1-31","97 DUPONT AVE - 97 Dupont Ave","","Yes"
"26-2-24.1","96 DUPONT AVE - 96 Dupont Ave","","Yes"
"2-6-3","3 KINGSLEY PL - 3 Kingsley Pl","","Yes"
"26-3-19","2 WILKIN ST - 2 Wilkin St","","Yes"
"26-3-25","8 LARTER AVE - 8 Larter Ave","","Yes"
"26-3-67","133 ORCHARD ST - 133 Orchard St","","Yes"
"26-6-4","75 GROVE ST - 75 Grove St","","Yes"
"26-6-8","59 GROVE ST - 59 Grove St","","Yes"
"26-7-21","68 GROVE ST - 68 Grove St","","Yes"
"26-7-24","74 GROVE ST - 74 Grove St","","Yes"
"27-1-42","252 VAN NESS ST - 252 Van Ness St","","Yes"
"27-1-46","262 VAN NESS ST - 262 Van Ness St","","Yes"
"27-1-50","274 VAN NESS ST - 274 Van Ness St","","Yes"
"27-1-56","36 WEST ST - 36 West St","","Yes"
"27-2-3","277 VAN NESS ST - 277 Van Ness St","","Yes"
"28-1-16","379 FIRST ST - 379 First St","","Yes"
"28-1-19","373 FIRST ST - 373 First St","","Yes"
"28-3-24","370 BROADWAY - 370 Broadway","","Yes"
"29-10-2","242 BROADWAY - 242 Broadway","","Yes"
"29-1-10","49 CONCORD ST - 49 Concord St","","Yes"
"29-1-7","289 FIRST ST - 289 First St","","Yes"
"29-1-8","287 FIRST ST - 287 First St","","Yes"
"29-2-18","70 VAN NESS ST - 70 Van Ness St","","Yes"
"29-2-19","72 VAN NESS ST - 72 Van Ness St","","Yes"
"29-2-20","74 VAN NESS ST - 74 Van Ness St","","Yes"
"29-2-26","42 CONCORD ST - 42 Concord St","","Yes"
"29-2-4","273 FIRST ST - 273 First St","","Yes"
"29-3-12","41 LUTHERAN ST - 41 Lutheran St","","Yes"
"29-3-13","39 LUTHERAN ST - 39 Lutheran St","","Yes"
"29-3-17","31 LUTHERAN ST - 31 Lutheran St","","Yes"
"29-3-20","25 LUTHERAN ST - 25 Lutheran St","","Yes"
"29-3-28","30 CARPENTER AVE - 30 Carpenter Ave","","Yes"
"29-3-8","247 FIRST ST - 247 First St","","Yes"
"29-3-9","245 FIRST ST - 245 First St","","Yes"
"29-4-15","35 CITY TER - 35 City Ter","","Yes"
"29-4-16","33 CITY TER - 33 City Ter","","Yes"
"29-4-17","31 CITY TER - 31 City Ter","","Yes"
"29-4-19","27 CITY TER - 27 City Ter","","Yes"
"29-4-20","25 CITY TER - 25 City Ter","","Yes"
"29-4-27","32 LUTHERAN ST - 32 Lutheran St","","Yes"
"29-4-32","42 LUTHERAN ST - 42 Lutheran St","","Yes"
"29-4-4","233 FIRST ST - 233 First St","","Yes"
"29-4-7","55 CITY TER - 55 City Ter","","Yes"
"29-5-16","39 DUBOIS ST - 39 Dubois St","","Yes"
"29-5-18","35 DUBOIS ST - 35 Dubois St","","Yes"
"29-5-2","221 FIRST ST - 221 First St","","Yes"
"29-5-20","31 DUBOIS ST - 31 Dubois St","","Yes"
"29-5-25","10 VAN NESS ST - 10 Van Ness St","","Yes"
"29-5-26","12 VAN NESS ST - 12 Van Ness St","","Yes"
"29-5-30","28 CITY TERR - 28 City Terr","","Yes"
"29-5-39","50 CITY TER - 50 City Ter","","Yes"
"29-5-6","215 FIRST ST - 215 First St","","Yes"
"29-5-7","57 DUBOIS ST - 57 Dubois St","","Yes"
"29-7-6","196 BROADWAY - 196 Broadway","","Yes"
"29-8-2","17 CITY TER - 17 City Ter","","Yes"
"29-8-6","214 BROADWAY - 214 Broadway","","Yes"
"29-8-7","216 BROADWAY - 216 Broadway","","Yes"
"29-9-6","15 LUTHERAN ST - 15 Lutheran St","","Yes"
"29-9-8","11 LUTHERAN ST - 11 Lutheran St","","Yes"
"30-1-10","39 S MILLER ST - 39 S Miller St","","Yes"
"30-1-17","25 S MILLER ST - 25 S Miller St","","Yes"
"30-1-18","23 S MILLER ST - 23 S Miller St","","Yes"
"30-1-23","13 S MILLER ST - 13 S Miller St","","Yes"
"30-1-24","11 S MILLER ST - 11 S Miller St","","Yes"
"30-1-25","9 S MILLER ST - 9 S Miller St","","Yes"
"30-1-50","52 DUBOIS ST - 52 Dubois St","","Yes"
"30-1-6","47 S MILLER ST - 47 S Miller St","","Yes"
"30-2-1","193 FIRST ST - 193 First St","","Yes"
"30-2-10","43 JOHNSTON ST - 43 Johnston St","","Yes"
"30-2-13","33 JOHNSTON ST - 33 Johnston St","","Yes"
"30-2-16","27 JOHNSTON ST - 27 Johnston St","","Yes"
"30-2-17","25 JOHNSTON ST - 25 Johnston St","","Yes"
"30-2-20","19 JOHNSTON ST - 19 Johnston St","","Yes"
"30-2-21","17 JOHNSTON ST - 17 Johnston St","","Yes"
"30-2-33","12 S MILLER ST - 12 S Miller St","","Yes"
"30-2-47","40 S MILLER ST - 40 S Miller St","","Yes"
"30-2-48","42 S MILLER ST - 42 S Miller St","","Yes"
"30-2-49","44 S MILLER ST - 44 S Miller St","","Yes"
"30-2-51","48 S MILLER ST - 48 S Miller St","","Yes"
"30-2-52","50 S MILLER ST - 50 S Miller St","","Yes"
"30-2-8","47 JOHNSTON ST - 47 Johnston St","","Yes"
"30-2-9","45 JOHNSTON ST - 45 Johnston St","","Yes"
"30-3-12","38 LANDER ST - 38 Lander St","","Yes"
"30-3-13","36 LANDER ST - 36 Lander St","","Yes"
"30-3-14","34 LANDER ST - 34 Lander St","","Yes"
"30-3-20","18 LANDER ST - 18 Lander St","","Yes"
"30-3-34","10 JOHNSTON ST - 10 Johnston St","","Yes"
"30-3-5","52 LANDER ST - 52 Lander St","","Yes"
"30-4-1","47 LANDER ST - 47 Lander St","","Yes"
"30-4-19","29 CHAMBERS ST - 29 Chambers St","","Yes"
"30-4-27","126 BROADWAY - 126 Broadway","","Yes"
"30-4-33","33 LANDER ST - 33 Lander St","","Yes"
"30-4-39","45 A LANDER ST - 45 A Lander St","","Yes"
"30-4-4","145 FIRST ST - 145 First St","","Yes"
"30-5-1","56 CHAMBERS ST - 56 Chambers St","","Yes"
"30-5-19","157 LIBERTY ST - 157 Liberty St","","Yes"
"30-5-2","129 FIRST ST - 129 First St","","Yes"
"30-5-22","96 BROADWAY","","Yes"
"30-5-29","112 BROADWAY - 112 Broadway","","Yes"
"30-5-34","30 CHAMBERS ST - 30 Chambers St","","Yes"
"30-5-44","52 CHAMBERS ST - 52 Chambers St","","Yes"
"30-5-5","185 LIBERTY ST - 185 Liberty St","","Yes"
